TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,11221.0,3.0,3.0,2000.0,2650.0,1899.0,1,1180000,2020-10-29
1,11221.0,3.0,3.0,2000.0,3000.0,1920.0,1,10,2021-03-23
1,11207.0,3.0,3.0,2281.0,2820.0,2013.0,1,0,2020-09-11
1,11207.0,3.0,3.0,1219.0,2820.0,2013.0,1,0,2020-09-11
1,11207.0,3.0,3.0,1219.0,2820.0,2013.0,1,0,2020-09-11
1,11207.0,3.0,3.0,2281.0,2820.0,2013.0,1,0,2020-09-11
1,11221.0,3.0,3.0,2000.0,2880.0,1901.0,1,0,2020-12-05
1,11207.0,3.0,3.0,1600.0,3000.0,1925.0,1,10,2020-10-19
1,11207.0,3.0,3.0,2000.0,2700.0,1925.0,1,0,2021-03-09
1,11207.0,3.0,3.0,2000.0,2700.0,1925.0,1,1500000,2021-01-08
1,11207.0,3.0,3.0,2200.0,2565.0,1920.0,1,87500,2020-08-03
1,11207.0,3.0,3.0,1900.0,2850.0,1910.0,1,200000,2021-03-18
1,11207.0,3.0,3.0,1950.0,3135.0,2002.0,1,0,2020-12-31
1,11207.0,3.0,3.0,1500.0,2580.0,1925.0,1,1430000,2021-01-20
1,11207.0,3.0,3.0,1500.0,2580.0,1925.0,1,0,2021-03-19
1,11207.0,3.0,3.0,1858.0,2508.0,1920.0,1,0,2020-05-27
1,11207.0,3.0,3.0,1875.0,2532.0,1915.0,1,985000,2020-10-29
1,11207.0,3.0,3.0,1800.0,2430.0,1925.0,1,0,2021-01-20
1,11207.0,3.0,3.0,1800.0,2430.0,1925.0,1,1349000,2021-03-19
1,11207.0,3.0,3.0,1800.0,2430.0,1925.0,1,965000,2020-10-29
1,11207.0,3.0,3.0,1726.0,2520.0,1925.0,1,0,2020-12-15
1,11207.0,3.0,3.0,2000.0,2200.0,1899.0,1,0,2020-07-22
1,11207.0,3.0,3.0,1958.0,2937.0,1899.0,1,0,2020-08-20
1,11207.0,3.0,3.0,1850.0,2775.0,1899.0,1,0,2020-12-09
1,11207.0,3.0,3.0,1850.0,2775.0,1899.0,1,0,2020-06-24
1,11207.0,3.0,3.0,2000.0,3180.0,1905.0,1,0,2020-08-31
2B,11221.0,8.0,8.0,1850.0,0.0,2020.0,1,815500,2020-07-23
1,11237.0,0.0,0.0,400.0,0.0,1931.0,1,0,2020-10-05
2A,11206.0,6.0,6.0,2500.0,4125.0,1931.0,2,0,2020-07-30
2A,11206.0,6.0,6.0,2500.0,4125.0,1931.0,2,0,2020-07-30
2A,11237.0,6.0,6.0,2500.0,4125.0,1931.0,2,0,2020-05-29
2A,11206.0,4.0,4.0,1667.0,2750.0,1931.0,2,985000,2020-04-24
2,11206.0,14.0,15.0,3400.0,10200.0,1920.0,2,0,2020-04-21
2A,11206.0,6.0,6.0,2500.0,3900.0,1931.0,2,0,2020-10-22
2A,11206.0,6.0,6.0,2500.0,4125.0,1931.0,2,1900000,2020-09-09
2A,11221.0,6.0,6.0,2867.0,4950.0,1931.0,2,0,2020-06-24
2A,11237.0,6.0,6.0,2500.0,4650.0,1931.0,2,985000,2020-07-29
2A,11237.0,6.0,6.0,2500.0,4650.0,1931.0,2,875000,2020-12-21
2A,11237.0,6.0,6.0,2500.0,4125.0,1931.0,2,875000,2020-12-21
