TAX CLASS AT PRESENT,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
2,10011,1987.0,600000,2020-07-17
2,10011,1987.0,658000,2021-02-24
2,10011,1973.0,0,2021-02-21
2,10011,1973.0,623000,2021-03-16
2,10011,1973.0,890000,2020-10-12
2,10011,1973.0,505000,2021-03-03
2,10011,1950.0,1825000,2020-10-29
2,10011,2006.0,1925000,2020-05-29
2,10011,2006.0,0,2020-12-23
2,10011,2006.0,1172000,2020-10-09
2,10011,2008.0,2300000,2020-09-10
2,10011,2008.0,0,2020-11-30
2,10011,2008.0,4500000,2020-12-23
2,10011,2008.0,1220000,2021-02-09
2,10011,2006.0,2070000,2020-06-22
2,10011,2006.0,1990000,2020-10-20
2,10011,2006.0,1995000,2021-02-18
2,10011,2006.0,0,2020-09-21
2,10011,2006.0,2950000,2020-10-13
2,10011,2006.0,0,2020-11-06
2,10011,2006.0,0,2020-09-25
2,10011,2006.0,1450000,2020-05-14
2,10011,2006.0,2200000,2020-10-02
2,10011,2006.0,2675000,2020-05-07
2,10011,2006.0,1452500,2020-05-21
2,10011,2006.0,2600000,2021-02-22
2,10011,2006.0,0,2020-09-17
2,10011,2006.0,2015000,2020-10-23
2,10011,2006.0,1750000,2020-06-09
2,10011,2006.0,0,2021-01-11
2,10011,2006.0,0,2020-12-05
2,10011,1901.0,0,2021-02-18
2,10001,1922.0,2265000,2020-11-10
2,10001,1911.0,2575000,2020-05-18
2,10001,1911.0,2300000,2021-01-08
2A,10011,1900.0,0,2020-12-04
2A,10001,1920.0,6550000,2020-09-29
2C,10011,2013.0,6140000,2021-02-26
2C,10011,2014.0,3850000,2020-10-01
2C,10011,1900.0,840000,2020-11-13
2C,10011,1920.0,2450000,2020-04-27
2C,10011,2016.0,7500000,2020-10-19
2C,10011,1920.0,150000,2020-12-07
2C,10001,1920.0,0,2020-11-03
2,10011,1932.0,595000,2020-11-20
2,10011,1932.0,560000,2021-03-17
2,10011,1932.0,1350000,2020-10-13
2,10011,1932.0,689500,2021-01-26
2,10011,1932.0,468825,2021-02-18
2,10011,1932.0,1350000,2020-04-16
2,10011,1932.0,1400000,2020-07-14
2,10011,1932.0,420000,2021-03-04
2,10011,1932.0,965000,2020-06-23
2,10011,1932.0,595000,2020-07-01
2,10011,1932.0,530402,2020-06-16
2,10011,1932.0,0,2020-05-27
2,10011,1973.0,699000,2021-03-19
2,10011,1973.0,0,2021-02-09
2,10011,1973.0,630000,2020-06-26
2,10011,1931.0,570000,2020-06-16
2,10011,1931.0,0,2020-05-26
2,10011,1931.0,436500,2020-05-28
2,10011,1906.0,1027500,2021-01-15
2,10011,1930.0,1450000,2020-07-31
2,10011,1930.0,740000,2020-04-17
4,10011,1930.0,0,2020-12-18
4,10011,1910.0,0,2020-12-18
4,10011,1920.0,12333333,2020-07-21
4,10011,1920.0,6166667,2020-07-21
4,10011,1910.0,0,2020-12-04
4,10011,1910.0,0,2020-06-01
4,10011,1910.0,0,2020-05-15
4,10011,1904.0,3607000,2020-12-28
4,10001,2013.0,0,2020-12-30
4,10011,1930.0,9000000,2020-09-21
4,10011,1950.0,0,2020-05-04
4,10011,1882.0,7680000,2020-11-06
4,10001,1920.0,0,2020-08-07
4,10001,2018.0,147362877,2020-09-30
4,10011,2011.0,7680000,2020-11-06
4,10011,1913.0,0,2020-12-18
2,10011,1920.0,5256863,2020-11-16
2,10011,1920.0,5400000,2020-11-04
2,10011,1920.0,6093878,2020-10-15
2,10011,1920.0,5375000,2020-11-05
2,10011,1920.0,6007114,2020-10-23
2,10011,1920.0,5672818,2020-11-06
2,10011,1920.0,5961213,2020-11-09
4,10011,1920.0,0,2021-03-01
4,10011,2006.0,0,2020-07-01
4,10011,1987.0,2300000,2021-02-04
4,10011,1931.0,11000000,2020-11-30
4,10011,1987.0,2300000,2021-02-04
4,10011,1987.0,2300000,2021-02-04
4,10011,1987.0,2300000,2021-02-04
4,10011,2006.0,0,2020-07-01
1,10038,1901.0,0,2020-07-07
2,10013,1920.0,2550000,2020-12-23
2,10013,1990.0,0,2020-08-10
2,10013,1990.0,0,2020-11-30
2,10013,1990.0,0,2020-08-10
2,10013,1990.0,0,2020-11-11
2,10013,1990.0,680000,2020-07-14
2,10013,1990.0,1100000,2021-03-24
2,10013,1990.0,710000,2021-03-18
2,10013,2007.0,0,2020-06-17
2,10013,2003.0,1925000,2021-01-15
2,10013,1900.0,3725000,2020-12-08
2,10013,1900.0,0,2021-02-05
2,10013,1915.0,3800000,2020-10-15
2,10013,1915.0,3750000,2021-01-05
2,10013,1915.0,2825000,2021-03-02
2,10013,1915.0,2600000,2021-01-04
2,10013,1990.0,0,2020-11-19
2,10013,1990.0,0,2021-02-16
2,10013,1920.0,0,2020-12-22
2,10013,1899.0,0,2020-05-22
2,10002,1989.0,690000,2020-04-23
2,10002,1989.0,0,2020-11-16
2,10002,1989.0,0,2020-10-03
2C,10002,1900.0,1150000,2020-04-07
4,10013,1915.0,0,2020-10-07
4,10038,1900.0,3950000,2020-08-18
4,10002,1900.0,28600000,2020-04-13
4,10013,1911.0,638000,2021-01-28
4,10013,1991.0,0,2020-11-14
4,10038,1991.0,480036,2020-12-22
4,10038,1991.0,494046,2020-12-23
4,10038,2009.0,0,2021-02-22
4,10002,2017.0,1157243,2021-01-21
4,10013,2007.0,0,2020-06-17
4,10013,1911.0,50000,2020-09-09
2,10038,1960.0,200000,2020-12-18
2,10038,1960.0,1300000,2020-09-10
2,10038,1960.0,0,2020-11-30
2,10038,1960.0,0,2020-10-16
2,10038,1960.0,940000,2020-07-24
2,10038,1960.0,0,2020-10-15
2,10038,1960.0,0,2020-12-03
2,10038,1960.0,868000,2020-12-07
2,10007,1965.0,695000,2020-07-29
2,10007,1965.0,0,2020-12-01
2,10007,1965.0,550000,2020-10-27
2,10007,1965.0,883000,2020-07-10
2,10007,1965.0,502500,2020-12-15
2,10007,1965.0,1475000,2020-05-11
2C,10007,1930.0,2622600,2021-01-07
2C,10007,1930.0,2750000,2020-12-09
2C,10007,1930.0,2675000,2021-01-08
2C,10007,1930.0,2725000,2021-02-19
2C,10007,1930.0,2187500,2021-01-22
2C,10007,1930.0,2015000,2020-12-15
2,10007,1913.0,13500000,2021-02-12
2,10007,1913.0,16000000,2020-04-10
2,10007,1913.0,4950000,2020-04-29
2,10007,1913.0,6400000,2021-03-18
2,10007,1913.0,6500000,2020-12-30
2,10007,1913.0,5400000,2020-06-05
2,10007,1913.0,6950000,2021-02-09
2,10007,1913.0,6800000,2021-03-10
2,10007,1913.0,5680000,2020-05-05
2,10007,1913.0,5500000,2021-01-22
2,10007,1913.0,5675000,2021-03-17
2,10007,1913.0,2500000,2020-11-10
2,10007,2008.0,1525000,2020-07-22
2,10007,2008.0,0,2020-09-03
2,10007,2008.0,1150000,2020-04-17
2,10007,2008.0,3800000,2020-06-29
2,10007,2008.0,2600000,2020-08-12
2,10007,2008.0,5450000,2020-09-15
2,10007,2008.0,0,2021-03-24
2,10007,2008.0,6650000,2020-09-01
2,10007,2008.0,6840000,2021-02-02
