TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10466,1.0,1.0,1710.0,1116.0,1959.0,1,445000,2020-10-30
1,10466,1.0,1.0,1710.0,1116.0,1959.0,1,456750,2020-09-03
1,10466,1.0,1.0,1366.0,1744.0,1960.0,1,0,2020-07-15
1,10466,1.0,1.0,4750.0,1771.0,1953.0,1,464000,2021-02-08
1,10466,1.0,1.0,2500.0,1512.0,1931.0,1,0,2020-07-27
1,10466,1.0,1.0,2625.0,1802.0,1950.0,1,526000,2020-07-16
1,10466,1.0,1.0,3499.0,1146.0,1930.0,1,540000,2021-03-03
1,10466,1.0,1.0,6827.0,2339.0,1959.0,1,180250,2021-01-12
1,10466,1.0,1.0,2375.0,1224.0,1910.0,1,475000,2020-04-30
1,10466,1.0,1.0,4141.0,1960.0,1951.0,1,0,2021-02-04
1,10466,1.0,1.0,5093.0,2072.0,1949.0,1,0,2020-09-01
1,10466,1.0,1.0,2375.0,1184.0,1930.0,1,205000,2021-01-05
1,10466,1.0,1.0,1710.0,1152.0,1940.0,1,247173,2020-08-12
1,10466,1.0,1.0,2494.0,1260.0,1950.0,1,375000,2020-06-16
1,10466,1.0,1.0,2494.0,1260.0,1950.0,1,500000,2021-01-28
1,10466,1.0,1.0,1800.0,1690.0,1960.0,1,562375,2020-12-03
1,10466,1.0,1.0,2500.0,1296.0,1935.0,1,473500,2020-10-29
1,10466,1.0,1.0,5000.0,1998.0,1950.0,1,0,2020-04-02
1,10466,1.0,1.0,2600.0,1890.0,1940.0,1,499500,2021-02-11
1,10466,1.0,1.0,2500.0,1140.0,1935.0,1,0,2020-08-31
1,10466,1.0,1.0,2500.0,1944.0,1958.0,1,0,2020-04-18
1,10466,1.0,1.0,4138.0,1158.0,1931.0,1,549000,2020-09-25
1,10475,1.0,1.0,2375.0,1608.0,1910.0,1,405000,2020-07-15
1,10475,1.0,1.0,3750.0,1712.0,1956.0,1,82000,2020-04-07
1,10475,1.0,1.0,3750.0,1664.0,1957.0,1,0,2021-01-04
1,10475,1.0,1.0,2500.0,1840.0,1940.0,1,335000,2021-02-23
1,10475,1.0,1.0,2500.0,1840.0,1940.0,1,295000,2020-08-27
1,10475,1.0,1.0,5000.0,1040.0,1925.0,1,0,2020-11-18
1,10475,1.0,1.0,3700.0,2256.0,1945.0,1,0,2020-12-29
1,10475,1.0,1.0,3700.0,2256.0,1945.0,1,610000,2020-10-13
1,10475,1.0,1.0,2742.0,1711.0,1963.0,1,475000,2020-08-31
1,10475,1.0,1.0,5000.0,1831.0,1935.0,1,100000,2020-10-20
1,10475,1.0,1.0,2700.0,1776.0,1965.0,1,520000,2020-10-07
1,10475,1.0,1.0,5000.0,1250.0,1940.0,1,610000,2021-03-11
1,10475,1.0,1.0,5000.0,1250.0,1940.0,1,350000,2020-08-11
1,10469,2.0,2.0,5621.0,2350.0,1910.0,1,550000,2020-11-23
1,10469,2.0,2.0,5621.0,1300.0,1930.0,1,124000,2020-09-18
1,10469,2.0,2.0,8475.0,2080.0,1899.0,1,820000,2020-08-24
1,10469,2.0,2.0,2500.0,1912.0,1950.0,1,615000,2020-07-01
1,10469,2.0,2.0,2278.0,1920.0,1950.0,1,1,2020-12-31
1,10469,2.0,2.0,2500.0,1840.0,1950.0,1,390000,2020-07-31
1,10469,2.0,2.0,2500.0,2214.0,2008.0,1,0,2021-01-12
1,10469,2.0,2.0,1876.0,2018.0,1945.0,1,400000,2021-01-25
1,10469,2.0,2.0,2090.0,2125.0,1945.0,1,0,2020-09-14
1,10469,2.0,2.0,1330.0,2320.0,1955.0,1,0,2020-07-23
1,10469,2.0,2.0,1888.0,2061.0,1950.0,1,690000,2020-06-09
1,10469,2.0,2.0,1900.0,2125.0,1950.0,1,380250,2020-06-25
1,10469,2.0,2.0,2375.0,1810.0,1920.0,1,0,2020-10-28
1,10469,2.0,2.0,3108.0,2500.0,1950.0,1,0,2020-12-08
1,10469,2.0,2.0,3378.0,1932.0,1950.0,1,395000,2020-11-20
1,10469,2.0,2.0,3515.0,2750.0,2014.0,1,900000,2020-11-16
1,10469,2.0,2.0,2375.0,2140.0,1950.0,1,0,2020-10-12
1,10469,2.0,2.0,3800.0,2650.0,1920.0,1,0,2020-12-01
1,10469,2.0,2.0,2375.0,1840.0,1950.0,1,0,2020-10-20
1,10469,2.0,2.0,958.0,2361.0,2006.0,1,730000,2021-02-22
1,10469,2.0,2.0,1388.0,2046.0,2007.0,1,700000,2020-09-18
1,10469,2.0,2.0,2987.0,2176.0,1960.0,1,660000,2020-06-30
1,10469,2.0,2.0,2474.0,2112.0,1950.0,1,0,2020-04-17
1,10469,2.0,2.0,1710.0,1912.0,1955.0,1,565000,2020-06-11
1,10469,2.0,2.0,2375.0,3393.0,1910.0,1,665000,2020-12-18
1,10469,2.0,2.0,2375.0,2464.0,1920.0,1,0,2021-03-22
1,10469,2.0,2.0,2100.0,2750.0,1960.0,1,626000,2021-03-08
1,10469,2.0,2.0,2536.0,2076.0,2003.0,1,420000,2021-03-18
1,10469,2.0,2.0,2002.0,1760.0,1925.0,1,0,2020-11-30
1,10469,2.0,2.0,4750.0,3000.0,1901.0,1,738000,2020-12-29
1,10469,2.0,2.0,2534.0,2160.0,1950.0,1,526050,2021-03-03
1,10469,2.0,2.0,1931.0,1975.0,1950.0,1,560000,2020-06-04
1,10469,2.0,2.0,2500.0,2079.0,1955.0,1,238000,2021-01-27
1,10469,2.0,2.0,1900.0,1567.0,1940.0,1,0,2020-09-19
1,10469,2.0,2.0,2500.0,3080.0,1930.0,1,0,2020-12-11
1,10469,2.0,2.0,2500.0,2440.0,1920.0,1,430000,2020-11-25
1,10469,2.0,2.0,2500.0,3757.0,1935.0,1,10,2020-11-28
1,10469,2.0,2.0,2500.0,3500.0,2012.0,1,772000,2020-10-28
1,10469,2.0,2.0,3000.0,2400.0,1970.0,1,0,2020-08-28
1,10469,2.0,2.0,2658.0,1976.0,1930.0,1,625000,2020-07-10
1,10469,2.0,2.0,2200.0,1874.0,1945.0,1,624000,2020-10-26
1,10469,2.0,2.0,2442.0,1914.0,1945.0,1,650000,2020-07-23
1,10469,2.0,2.0,2200.0,1722.0,1950.0,1,535000,2020-06-16
1,10469,2.0,2.0,2200.0,1722.0,1950.0,1,600000,2020-09-09
1,10469,2.0,2.0,2000.0,2385.0,1950.0,1,618000,2021-01-20
1,10469,2.0,2.0,2000.0,2385.0,1950.0,1,350000,2020-09-29
1,10469,2.0,2.0,2000.0,2385.0,1950.0,1,0,2020-08-20
1,10469,2.0,2.0,4750.0,3870.0,1960.0,1,0,2020-09-17
1,10469,2.0,2.0,1830.0,2070.0,1940.0,1,610000,2020-11-24
1,10469,2.0,2.0,2200.0,1475.0,1955.0,1,730000,2020-04-03
1,10469,2.0,2.0,4763.0,2356.0,1955.0,1,870000,2020-05-13
1,10469,2.0,2.0,2660.0,3000.0,1965.0,1,0,2020-11-25
1,10469,2.0,2.0,4750.0,2639.0,1935.0,1,0,2020-08-28
1,10469,2.0,2.0,4750.0,2639.0,1935.0,1,0,2020-08-13
1,10469,2.0,3.0,3840.0,2570.0,1965.0,1,0,2020-08-31
1,10469,2.0,2.0,3617.0,2800.0,1970.0,1,0,2020-06-09
1,10469,2.0,2.0,1880.0,2080.0,1970.0,1,730000,2020-06-24
1,10469,2.0,2.0,1900.0,2080.0,1970.0,1,500000,2020-06-19
1,10469,2.0,2.0,1900.0,2080.0,1970.0,1,0,2020-10-22
1,10469,2.0,2.0,1900.0,2620.0,1970.0,1,710000,2020-06-11
1,10469,2.0,2.0,1989.0,1920.0,1960.0,1,0,2021-02-24
1,10469,2.0,2.0,2595.0,1920.0,1960.0,1,765000,2021-01-08
1,10469,2.0,2.0,2090.0,3034.0,1970.0,1,0,2021-02-26
1,10469,2.0,2.0,2090.0,3034.0,1970.0,1,0,2020-08-31
1,10469,2.0,2.0,1880.0,2160.0,1970.0,1,0,2020-09-30
1,10469,2.0,2.0,1880.0,2160.0,1970.0,1,0,2021-01-25
1,10469,2.0,2.0,1880.0,2160.0,1970.0,1,0,2020-09-25
1,10469,2.0,2.0,2850.0,2805.0,2006.0,1,0,2021-03-17
1,10469,2.0,2.0,1853.0,2052.0,1970.0,1,670000,2020-07-01
1,10469,2.0,2.0,1853.0,2052.0,1970.0,1,665000,2020-09-16
1,10469,2.0,2.0,1900.0,1760.0,1965.0,1,665000,2020-11-09
1,10469,2.0,2.0,6828.0,1868.0,1955.0,1,0,2020-07-07
1,10469,2.0,2.0,3500.0,1724.0,1920.0,1,535000,2020-12-22
1,10469,2.0,2.0,1907.0,2474.0,1950.0,1,734000,2020-12-16
1,10469,2.0,2.0,2373.0,2000.0,2006.0,1,0,2021-03-30
1,10469,2.0,2.0,2594.0,2308.0,2019.0,1,915000,2020-09-03
1,10469,2.0,2.0,2594.0,2124.0,2019.0,1,895000,2020-06-29
1,10469,2.0,2.0,3268.0,2476.0,1930.0,1,901151,2020-11-09
1,10469,2.0,2.0,2280.0,1824.0,1955.0,1,699600,2021-02-11
1,10469,2.0,2.0,2266.0,1908.0,2007.0,1,0,2020-12-30
1,10469,2.0,2.0,1647.0,1683.0,1960.0,1,605000,2020-04-06
1,10469,2.0,2.0,1710.0,1782.0,1960.0,1,0,2021-02-05
1,10469,2.0,2.0,3040.0,4200.0,1970.0,1,640000,2020-09-11
1,10469,2.0,2.0,2185.0,1596.0,1960.0,1,0,2020-06-29
1,10469,2.0,2.0,1895.0,1800.0,1950.0,1,705000,2020-11-16
1,10469,2.0,2.0,1900.0,1665.0,2004.0,1,820000,2021-03-23
1,10469,2.0,2.0,2280.0,2707.0,1970.0,1,715000,2020-08-14
1,10469,2.0,2.0,2137.0,2680.0,1970.0,1,650000,2020-05-15
1,10469,2.0,2.0,2006.0,2680.0,1970.0,1,810000,2020-12-10
1,10469,2.0,2.0,2375.0,1890.0,1945.0,1,625000,2020-11-30
1,10469,2.0,2.0,1856.0,1548.0,1960.0,1,0,2020-09-04
1,10469,2.0,2.0,3535.0,2310.0,1960.0,1,740000,2021-02-04
1,10469,2.0,2.0,1900.0,1840.0,1960.0,1,650000,2020-04-07
1,10469,2.0,2.0,1900.0,1840.0,1960.0,1,640000,2020-06-10
1,10469,2.0,2.0,3555.0,2136.0,1930.0,1,875000,2020-12-23
1,10469,2.0,2.0,2858.0,2585.0,1960.0,1,650000,2021-02-22
1,10469,2.0,2.0,2470.0,1800.0,1950.0,1,570000,2020-11-25
1,10469,2.0,2.0,2470.0,1800.0,1950.0,1,350000,2021-03-02
1,10469,2.0,2.0,2661.0,2940.0,1965.0,1,475000,2020-07-24
1,10469,2.0,2.0,2375.0,2040.0,2004.0,1,750000,2020-07-27
1,10469,2.0,2.0,2375.0,2040.0,2004.0,1,0,2020-10-23
1,10469,2.0,2.0,2375.0,2040.0,2004.0,1,625000,2020-08-28
1,10469,2.0,2.0,2375.0,2040.0,2004.0,1,749000,2020-06-09
1,10469,2.0,2.0,2064.0,3600.0,2006.0,1,0,2021-01-06
1,10469,2.0,2.0,2064.0,3600.0,2006.0,1,750000,2020-12-18
1,10469,2.0,2.0,4000.0,2800.0,1960.0,1,865000,2020-10-01
1,10469,2.0,2.0,2000.0,1856.0,1925.0,1,0,2020-10-20
1,10469,2.0,2.0,2375.0,3330.0,2000.0,1,10,2020-06-10
1,10469,2.0,2.0,2500.0,1800.0,1930.0,1,810000,2021-02-04
1,10469,2.0,2.0,2500.0,1800.0,1930.0,1,400000,2021-01-28
